conflict_class,constraint_type,feature_count,total_area_km2,mean_geothermal_score,mean_environment_score
High geothermal potential / high environmental constraint,ASSI,173,974.9732288949394,4.624277456647399,4.0
High geothermal potential / high environmental constraint,National Nature Reserve,27,16.003002881143992,4.592592592592593,5.0
High geothermal potential / high environmental constraint,Ramsar,12,1025.7922392255189,4.583333333333333,5.0
High geothermal potential / high environmental constraint,SAC,29,155.41791247794728,4.586206896551724,5.0
High geothermal potential / high environmental constraint,SPA,10,1018.2377178852978,4.6,5.0
High geothermal potential / high environmental constraint,World Heritage Site,2,1.0197401874347505,4.5,5.0
High geothermal potential / lower environmental constraint,AONB,8,758.6488355383202,4.5,3.0
Lower priority or lower conflict,AONB,4,330.73488166543063,3.0,3.0
Moderate geothermal potential / high environmental constraint,ASSI,26,113.03646699011748,3.0,4.0
Moderate geothermal potential / high environmental constraint,SAC,3,71.3026386893783,3.0,5.0
